"8602","672","698","896","143"
"8603","672","686","779","188"
"8604","672","691","640","104"
"8605","672","572","744","183"
"8606","672","395","419","112"
"8607","672","235","384","233"
"8608","672","452","170","309"
"8609","672","1086","140","101"
"8610","672","1148","222","120"
"8611","672","1251","211","135"
"8612","672","1421","305","214"
"8613","672","1310","382","296"
"8614","672","788","177","167"
"8615","672","659","118","645"
"8616","672","436","39","266"
"8617","672","305","208","167"
"8618","672","350","320","120"
"8619","672","280","275","124"
"8620","672","313","456","132"
"8621","672","346","507","194"
"8622","672","330","614","256"
"8623","672","328","658","286"
"8624","672","196","641","229"
"8625","672","215","590","211"
"8626","672","322","626","233"
"8627","672","325","479","247"
"8628","672","372","404","206"
"8629","672","419","257","103"
"8630","672","501","475","322"
"8631","672","545","366","125"
"8632","672","501","381","352"
"8633","672","820","555","214"
"8634","672","1194","-25","132"
"8635","672","1318","-36","107"
"8636","672","949","-4","189"
"8637","672","735","-3","170"
"8638","672","541","-65","155"
"8639","672","541","244","155"
"8640","672","590","469","178"
"8641","672","491","366","329"
"8642","672","483","283","111"
"8643","672","498","402","290"
"8644","672","433","265","449"
"8645","672","358","429","135"
"8646","672","418","552","151"
"8647","672","384","391","173"
"8648","672","542","438","120"
"8649","672","419","586","120"
"8650","672","513","318","129"
"8651","672","642","389","173"
"8652","672","768","417","134"
"8653","672","957","396","244"
"8654","672","830","430","253"
"8655","672","936","451","283"
"8656","672","974","269","105"
"8657","672","405","87","340"
"8658","672","240","105","147"
"8659","672","354","301","229"
"8660","672","321","520","134"
"8661","672","306","609","127"
"8662","672","424","669","129"
"8663","672","456","777","175"
"8664","672","509","478","137"
"8665","672","288","533","186"
"8666","672","250","694","143"
"8667","672","511","736","208"
"8668","672","674","640","124"
"8669","672","549","724","276"
"8670","672","584","592","109"
"8671","672","369","682","212"
"8672","672","255","653","185"
"8673","672","236","696","224"
"8674","672","606","84","173"
"8675","672","731","113","119"
"8676","672","1270","792","150"
"8677","672","1028","844","190"
"8678","672","908","333","213"
"8679","672","924","650","137"
"8680","672","993","137","203"
"8681","672","821","48","184"
